id_local;matricula;bastidor;ktype;codVersion;rvCode;marca;modelo;version;anyo;combustible;estado;fotos
49684;4406BGL;VF7DCXFXF76030957;15913;011900510100005;23602;CITROEN;C5 BERLINA;3.0 V6 Exclusive Automático;2001;Sin plomo 91;15,4,1,5,9,15;4
49764;9083HJX;VF38D4HLACL028660;733;016700570120001;1277;PEUGEOT;508;GT;2011;Diesel;15,0,4,1,5,9,15;13
49895;6459HRL;WVWZZZ6RZDY206806;32813;019050881000020;4587;VOLKSWAGEN;POLO V (6R1);Advance;2009;Sin plomo 95;0,1,15,5;13
50592;6594CZC;JTJHF31U800028131;17342;014870710030001;13355;LEXUS;RX 300 (MCU35);Luxury;2004;Sin plomo 95;0,1,15,5;11
50613;3822GPL;ZFA18600002176864;15828;012800380330002;2759;FIAT;MULTIPLA (186);1.9 JTD 110 ELX Eleganza;2002;Diesel;0,1,15,5;6
50678;9842GNC;UU1LSDJKH40300999;19936;011940010020002;28741;DACIA;LOGAN 1;Ambiance;2005;Diesel;0,1,15,5;4
50844;M2455XW;VF37AWJZT32798862;27085;016700370410019;34494;PEUGEOT;306 3/5 PT. / 4 PT. (S2);Boulebard;1997;Diesel;0,1,15,5;3
50963;7292CGC;WDB1680311J914729;8386;015700300020017;28311;MERCEDES-BENZ;CLASE A (BM 168);140 (168.031);2001;Sin plomo 95;0,1,15,5;3
51176;V9877HF;KNEFB2422Y5439185;9552;014250100230001;29677;KIA;SHUMA;1.5 Comfort 5 Berlina;1999;Sin plomo 91;0,1,15,5;8
51180;;WBA3J71000KX31367;53089;011301426470002;24642;BMW;SERIE 3 BERLINA (F30N);335d xDrive M Sport;2018;Diesel;0,1,5,9,15;3
51878;0911FCS;KNEBA24326T307200;18042;014250150290001;23754;KIA;PICANTO (SA);1.1 Active;2007;Sin plomo 91;0,1,15,5;32
51958;45N4UJ;1A8GYN3716Y151607;14895;011700600070001;12172;CHRYSLER;VOYAGER (RG);2.5 CRD LX;2001;Diesel;0,1,5,15;12
52113;3306BKS;VF7N2RHYB73212596;13183;011900460900002;24594;CITROEN;XSARA FAMILIAR;2.0 HDi 66kW Image;1999;Diesel;0,1,15,5;15
52180;7493HCN;SJNFAAE11U2108691;19174;012250460010001;27798;NISSAN;NOTE (E11E);Visia;2009;Sin plomo 95;0,1,5,9,3;7
